model_name,feature_set,estimator,feature_count,log_loss,brier,accuracy,auc,avg_pred,actual_mean,n,accuracy_tuned_threshold,tuned_threshold,validation_accuracy_at_tuned_threshold
elo_only__xgboost_logloss,elo_only,xgboost_logloss,40,0.690125394686059,0.24852548330640195,0.5376794258373205,0.5418015276826028,0.5283923636426766,0.5316985645933014,1672,0.5430622009569378,0.45500000000000007,0.5542258788332087
statcast_team_plus_pitchmix__xgboost_logloss,statcast_team_plus_pitchmix,xgboost_logloss,658,0.6903631306746963,0.24865603385907353,0.534688995215311,0.5375563686723068,0.5344400749715607,0.5316985645933014,1672,0.5448564593301436,0.42000000000000004,0.5385190725504861
full_non_market__hist_gbdt,full_non_market,hist_gbdt,1987,0.6914288006369492,0.24912901727802203,0.5328947368421053,0.5431002159212858,0.5354190803959288,0.5316985645933014,1672,0.527511961722488,0.5400000000000001,0.537771129394166
robust_elo_only__xgboost_logloss,robust_elo_only,xgboost_logloss,6,0.6920492887083337,0.24933474270358674,0.5364832535885168,0.534545969110183,0.5270078805359927,0.5316985645933014,1672,0.5424641148325359,0.4750000000000001,0.5474943904263276
team_form_plus_elo__hist_gbdt,team_form_plus_elo,hist_gbdt,143,0.6920495967413917,0.2494378324888978,0.5305023923444976,0.5432611153490872,0.5303007413525647,0.5316985645933014,1672,0.5322966507177034,0.405,0.5579655946148093
market_elo_cluster__xgboost_logloss,market_elo_cluster,xgboost_logloss,55,0.6920701316508615,0.24942696408664158,0.5358851674641149,0.5342450009840723,0.532742028405364,0.5316985645933014,1672,0.5436602870813397,0.45000000000000007,0.5542258788332087
team_form_plus_elo__xgboost_logloss,team_form_plus_elo,xgboost_logloss,143,0.6924568243821945,0.24963936229209266,0.527511961722488,0.5359624587156491,0.5326141989901305,0.5316985645933014,1672,0.5287081339712919,0.42000000000000004,0.5639491398653702
starter_plus_team__hist_gbdt,starter_plus_team,hist_gbdt,422,0.6933997542424425,0.24996505571874458,0.5364832535885168,0.5476039632976912,0.529210989637645,0.5316985645933014,1672,0.5328947368421053,0.45000000000000007,0.5415108451757666
statcast_team_plus_pitchmix__hist_gbdt,statcast_team_plus_pitchmix,hist_gbdt,658,0.6938346095996826,0.2503371342528224,0.5257177033492823,0.5283894110937282,0.5346011638788247,0.5316985645933014,1672,0.5352870813397129,0.45500000000000007,0.5489902767389678
elo_only__hist_gbdt,elo_only,hist_gbdt,40,0.6940666450990784,0.25027927864280075,0.5293062200956937,0.5333169560701464,0.5321321004667441,0.5316985645933014,1672,0.5376794258373205,0.4600000000000001,0.5549738219895288
market_elo_cluster__hist_gbdt,market_elo_cluster,hist_gbdt,55,0.6949183965762578,0.25063447398036764,0.5328947368421053,0.5348727960729046,0.5306827038968102,0.5316985645933014,1672,0.5293062200956937,0.42000000000000004,0.5527299925205684
team_form_plus_elo__logistic_l2,team_form_plus_elo,logistic_l2,143,0.6950243767832904,0.2508841801144184,0.520933014354067,0.5324377556253743,0.5257057655542059,0.5316985645933014,1672,0.5364832535885168,0.4,0.5385190725504861
robust_elo_only__extra_trees_accuracy,robust_elo_only,extra_trees_accuracy,6,0.6953151349753133,0.2510476018907561,0.5143540669856459,0.5273320719967475,0.5015746010839789,0.5316985645933014,1672,0.5388755980861244,0.42500000000000004,0.5527299925205684
robust_elo_only__hist_gbdt,robust_elo_only,hist_gbdt,6,0.6977187131542608,0.2520478606678263,0.5161483253588517,0.5184316040954651,0.528127363391957,0.5316985645933014,1672,0.520933014354067,0.4950000000000001,0.5467464472700074
robust_elo_only__random_forest,robust_elo_only,random_forest,6,0.703746384882776,0.254957010784007,0.5197368421052632,0.5159972819489518,0.5277999602619996,0.5316985645933014,1672,0.5173444976076556,0.4950000000000001,0.5445026178010471
starter_plus_team__logistic_l2,starter_plus_team,logistic_l2,422,0.7116346979638165,0.2580244359133537,0.5239234449760766,0.5322222653202833,0.5204948015646241,0.5316985645933014,1672,0.5293062200956937,0.43000000000000005,0.5347793567688855
statcast_team_plus_pitchmix__logistic_l2,statcast_team_plus_pitchmix,logistic_l2,658,0.7151827407648575,0.25940081354292377,0.527511961722488,0.542460928016182,0.5175804723195623,0.5316985645933014,1672,0.5526315789473685,0.4,0.5228122662677637
robust_elo_only__random_forest_accuracy,robust_elo_only,random_forest_accuracy,6,0.7186422547141091,0.2615944418518676,0.49820574162679426,0.5099965952531795,0.513244779394766,0.5316985645933014,1672,0.5197368421052632,0.44500000000000006,0.5407629020194465
accuracy_core_no_box__logistic_l2,accuracy_core_no_box,logistic_l2,949,0.7398130406698332,0.26839646246868265,0.5269138755980861,0.5379241387929956,0.514289688890288,0.5316985645933014,1672,0.52811004784689,0.4,0.5190725504861631
full_non_market__logistic_l2,full_non_market,logistic_l2,1987,0.8217723362838085,0.29309316791128803,0.5203349282296651,0.5342737330247511,0.535273732686733,0.5316985645933014,1672,0.5293062200956937,0.4,0.5041136873597607
all_clean__logistic_l2,all_clean,logistic_l2,2032,0.8238405705528531,0.2940892647996455,0.5107655502392344,0.5328127087562331,0.5295612178801349,0.5316985645933014,1672,0.5305023923444976,0.4,0.4951383694839192
