,home_flag_passer,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,total_top_seconds_ewma,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense,roof_dome,roof_outdoors,surface_astroturf,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf
296,False,0.6438941121867597,41.262156710892235,323.0503996503572,136.36372129614483,-0.45475126500942803,0.6872967156329569,9.268572432526106,3.2672930855587348,293.8415701312405,-0.6846283977344234,1340.344834114094,True,0.5868536803788135,29.791971393815686,248.58933782417373,87.39310804405547,-8.672082333841004,1.3326535396331454,6.26479677755953,2.9323148491644146,193.62737601812657,-7.635656800992923,0,0,1,0,0,0,0
297,False,0.6438941121867597,41.262156710892235,323.0503996503572,136.36372129614483,-0.45475126500942803,0.6872967156329569,9.268572432526106,3.2672930855587348,293.8415701312405,-0.6846283977344234,1340.344834114094,True,0.5868536803788135,29.791971393815686,248.58933782417373,87.39310804405547,-8.672082333841004,1.3326535396331454,6.26479677755953,2.9323148491644146,193.62737601812657,-7.635656800992923,0,0,1,0,0,0,0
305,False,0.5506394515401897,28.95681063122924,223.89036544850498,57.588039867109636,2.443593450954982,0.0,6.01328903654485,1.867109634551495,160.32558139534885,-3.187643305407806,1196.6710963455148,True,0.5929403268816,26.639497379337623,213.55247127499888,83.6594904977949,-4.031491976563857,0.7712205252391854,4.608130506825248,1.7362801592106687,177.04622138272967,-5.886433125899879,0,1,0,0,0,0,0
306,False,0.5506394515401897,28.95681063122924,223.89036544850498,57.588039867109636,2.443593450954982,0.0,6.01328903654485,1.867109634551495,160.32558139534885,-3.187643305407806,1196.6710963455148,True,0.5929403268816,26.639497379337623,213.55247127499888,83.6594904977949,-4.031491976563857,0.7712205252391854,4.608130506825248,1.7362801592106687,177.04622138272967,-5.886433125899879,0,1,0,0,0,0,0
307,True,0.611474932213821,30.61831683168317,258.51930693069306,70.24306930693069,4.332107760735078,0.6589108910891089,5.679455445544553,1.5814356435643566,201.07079207920793,0.17194828296651962,1206.3336633663366,False,0.6102391891338603,34.64867806049888,282.45916585863733,115.3767317509133,1.356111021781048,0.5714528471163408,5.461576210420261,1.5432042588419166,239.17029379903843,-1.7177221955044228,0,1,0,1,0,0,0
308,True,0.611474932213821,30.61831683168317,258.51930693069306,70.24306930693069,4.332107760735078,0.6589108910891089,5.679455445544553,1.5814356435643566,201.07079207920793,0.17194828296651962,1206.3336633663366,False,0.6102391891338603,34.64867806049888,282.45916585863733,115.3767317509133,1.356111021781048,0.5714528471163408,5.461576210420261,1.5432042588419166,239.17029379903843,-1.7177221955044228,0,1,0,1,0,0,0
313,True,0.6041568757291648,31.60797342192691,262.9202657807309,105.51495016611297,2.9464618181469433,0.0,4.767441860465117,2.5249169435215943,221.3421926910299,-3.017281761795183,1041.6810631229237,False,0.7471353924284352,27.440015431199622,197.9843731693056,114.05385378126645,0.8018671687370676,1.2715264597480276,4.749951059078257,1.5923836125723263,227.20196025446,3.844333410598323,0,1,0,0,1,0,0
314,True,0.6041568757291648,31.60797342192691,262.9202657807309,105.51495016611297,2.9464618181469433,0.0,4.767441860465117,2.5249169435215943,221.3421926910299,-3.017281761795183,1041.6810631229237,False,0.7471353924284352,27.440015431199622,197.9843731693056,114.05385378126645,0.8018671687370676,1.2715264597480276,4.749951059078257,1.5923836125723263,227.20196025446,3.844333410598323,0,1,0,0,1,0,0
317,True,0.6239091176822703,27.29771965255583,231.4621674084822,86.69082959157664,1.231157139638754,0.23487774749514714,3.32297405933217,2.4858140036469867,200.1550753906786,-1.5738448319251679,1045.3446010862533,False,0.661904593395923,38.358865741325396,289.7937393614711,135.10463825060293,0.5399723807170373,0.9026966369939466,7.1121215990526325,3.4562710404979593,251.86110550074935,-0.1345233239538654,0,1,0,0,1,0,0
318,True,0.6239091176822703,27.29771965255583,231.4621674084822,86.69082959157664,1.231157139638754,0.23487774749514714,3.32297405933217,2.4858140036469867,200.1550753906786,-1.5738448319251679,1045.3446010862533,False,0.661904593395923,38.358865741325396,289.7937393614711,135.10463825060293,0.5399723807170373,0.9026966369939466,7.1121215990526325,3.4562710404979593,251.86110550074935,-0.1345233239538654,0,1,0,0,1,0,0
